fixture_id,profile_slug,variation_seed,palette_id,output_sha256,elapsed_s,render_status,created_at,energy,tension,density,brightness,stability,smoothness,repetition,section_complexity,noise_proxy,macro_shape_hint
ambient_A,ambient,3531136419,lunar_mist,sha256:36be73f8ee3f331c2b7438d7b2747cf51397db96b5ac76ba899e6657050137c1,0.176,rendered,2026-08-11T12:16:57.782159+00:00,0.25,0.15,0.3,0.4,0.8,0.85,0.6,0.2,0.1,drift
ambient_B,ambient,4233598168,lunar_mist_dark,sha256:dc41d94ff1df5a03effdef027d9642047587218444473d6a4ecac93fc4ccd318,0.07,rendered,2026-08-11T12:16:57.854067+00:00,0.3,0.4,0.55,0.2,0.55,0.6,0.7,0.35,0.25,drift
ambient_C,ambient,2165225819,lunar_mist_dark,sha256:f3f909d1b64e0c966504c3264b065512b0e29fc58b04ca1b08f3a81fa9a5f5f2,0.063,rendered,2026-08-11T12:16:57.920411+00:00,0.35,0.75,0.7,0.15,0.25,0.3,0.8,0.85,0.8,surge
blues_jazz_A,blues_jazz,1224984737,warm_midnight,sha256:28fcf39679a2161ffa921e4b714edf7ee70481b32ef0ff6835a65d688a054e71,0.062,rendered,2026-08-11T12:16:57.985738+00:00,0.45,0.4,0.5,0.45,0.6,0.55,0.4,0.45,0.35,meander
blues_jazz_B,blues_jazz,2237882028,warm_midnight,sha256:4290518d85789078488b7360aeea51d844d79cf51db293e92f34e8076e6782a5,0.065,rendered,2026-08-11T12:16:58.052911+00:00,0.55,0.65,0.4,0.6,0.35,0.4,0.3,0.6,0.5,meander
blues_jazz_C,blues_jazz,2864342820,warm_midnight,sha256:97ec5866db0079c47d871519c2e4892e16cf3fbc7a48790b6e85b67347579f9c,0.078,rendered,2026-08-11T12:16:58.132560+00:00,0.7,0.85,0.75,0.3,0.2,0.25,0.25,0.9,0.85,surge
classical_A,classical,2188533275,ivory_cobalt,sha256:b03197ca774883325d1766f468f4b57c13751265876dccf0e71066e6359369dc,0.07,rendered,2026-08-11T12:16:58.204578+00:00,0.4,0.3,0.4,0.55,0.75,0.7,0.5,0.4,0.1,arch
classical_B,classical,1051623217,ivory_cobalt_bright,sha256:11b348b38168dedf446d96df30e486cc015d0fa82b190dcc005b906c9158cc46,0.067,rendered,2026-08-11T12:16:58.273935+00:00,0.6,0.55,0.35,0.7,0.5,0.45,0.6,0.55,0.2,arch
classical_C,classical,3195388368,ivory_cobalt_dark,sha256:a7a9b4bc403c07c16e31c42fab6ad86ca17370832065f3dd5d69d065da7c0894,0.064,rendered,2026-08-11T12:16:58.339469+00:00,0.65,0.8,0.65,0.25,0.2,0.2,0.7,0.88,0.78,surge
electronic_A,electronic,3101496422,neon_dark_bright,sha256:5a302aa764177ed520f63e643cf22666c2d01338a65a2cd71d373676866e4607,0.069,rendered,2026-08-11T12:16:58.410472+00:00,0.75,0.5,0.7,0.65,0.55,0.4,0.7,0.55,0.4,pulse
electronic_B,electronic,2164261817,neon_dark_bright,sha256:2b7cc36dbe90456ae529e70ba6e76991c29975c011a64c29f1ca96525720abf2,0.062,rendered,2026-08-11T12:16:58.474233+00:00,0.85,0.75,0.45,0.8,0.3,0.25,0.8,0.7,0.55,pulse
electronic_C,electronic,142977250,neon_dark_bright,sha256:40bb4e43643d8cd6fe4d60a0104fc276684c092807f3cd692b2674a72c5c641c,0.067,rendered,2026-08-11T12:16:58.543670+00:00,0.95,0.9,0.85,0.9,0.1,0.1,0.85,0.95,0.9,surge
jazz_A,jazz,200074952,nocturne_amber,sha256:eb13a3f9e6d291d10be661ca4c835a93d4f4514b41308f4b9d76d98ae3bee129,0.06,rendered,2026-08-11T12:16:58.605936+00:00,0.6,0.45,0.55,0.6,0.55,0.5,0.35,0.5,0.3,meander
jazz_B,jazz,3922405342,nocturne_amber_bright,sha256:14839ee49af018bcb3b06fc880a19bfdf2d6d3b9bf3da28d50cce5eb92924042,0.07,rendered,2026-08-11T12:16:58.677811+00:00,0.7,0.7,0.4,0.75,0.35,0.35,0.25,0.65,0.45,meander
jazz_C,jazz,1206519418,nocturne_amber,sha256:1cc69867f2421054f379010790fa809e4a2abc94521624ab7af49a4a9ec61ea4,0.072,rendered,2026-08-11T12:16:58.751879+00:00,0.8,0.88,0.8,0.35,0.15,0.15,0.2,0.92,0.88,surge
pop_A,pop,1651021066,vivid_light_bright,sha256:b30fbf505822aecddd87474f8c107ee4cd833c9c8bffe32a9f787bbefe88c002,0.072,rendered,2026-08-11T12:16:58.826332+00:00,0.65,0.35,0.5,0.75,0.65,0.65,0.75,0.4,0.2,loop
pop_B,pop,1578363135,vivid_light_bright,sha256:d6b8153d2e1b7e9829d07d48cdd479ab9caa3ffdaab1572b90aa1c011248cb92,0.071,rendered,2026-08-11T12:16:58.899295+00:00,0.75,0.6,0.35,0.85,0.4,0.45,0.65,0.6,0.38,loop
pop_C,pop,1145532193,vivid_light_bright,sha256:ae701be0686a22d3e5cc68735f44132401265de2324b53a90899e97ccd1ad51a,0.059,rendered,2026-08-11T12:16:58.960366+00:00,0.85,0.8,0.75,0.9,0.2,0.2,0.8,0.88,0.82,surge
rock_A,rock,3234594061,dark_saturated,sha256:325db725f48163566c99adae0897b56fe281aac73be8e998cad396b5a531ce7d,0.065,rendered,2026-08-11T12:16:59.028268+00:00,0.8,0.65,0.65,0.45,0.45,0.3,0.55,0.6,0.6,drive
rock_B,rock,4289990904,dark_saturated,sha256:caf7d0f1a8b1cad90cc7f7347342913a32019c92bed902f6b3c1a09e9a68ff3c,0.066,rendered,2026-08-11T12:16:59.096140+00:00,0.9,0.85,0.45,0.3,0.2,0.15,0.45,0.8,0.75,drive
rock_C,rock,1744927140,dark_saturated_dark,sha256:5ac1ffab86c73ed4b3f092c868bdbfc16885a43992d8810ab2c64f49adb1fd73,0.075,rendered,2026-08-11T12:16:59.173428+00:00,0.98,0.95,0.88,0.2,0.05,0.05,0.6,0.98,0.95,surge
default_smoke,default,4000905114,default_dark,sha256:d2f5a5fe1bde285c5bd8fa1a0cb37daef0da71c83fc854c2defd10ee85bfb5fe,0.083,rendered,2026-08-11T12:16:59.258921+00:00,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,neutral
